IP,Name,ACL_Number,Old_ACL,Updated,Site
192.168.6.243,YH-PH-6504,SMB_ACL,"['ip access-list extended SMB_ACL', 'no 130', '41 permit ip host 10.131.129.2 any', 'no 160', '42 permit ip host 10.131.129.5 any', 'no 190', '43 permit ip host 10.131.129.6 any', 'no 220', '251 permit ip host 10.131.178.206 any', 'no 2800', '252 permit ip any host 10.38.2.244', 'no 370', '253 permit ip any host 10.131.128.12', 'no 1000', '254 permit ip any host 10.131.128.24', 'no 1030', '255 permit ip any host 10.131.128.32', 'no 1060', '256 permit ip any host 10.131.128.45', 'no 1090', '257 permit ip any host 10.131.128.54', '258 permit ip any host 10.131.128.60', '259 permit ip any host 10.131.128.62', 'no 1120', '260 permit ip any host 10.131.128.67', 'no 1150', '261 permit ip any host 10.131.128.69', 'no 1180', '262 permit ip any host 10.131.128.70', 'no 1210', '263 permit ip any host 10.131.128.71', 'no 1240', '264 permit ip any host 10.131.128.78', 'no 1270', '265 permit ip any host 10.131.128.85', 'no 1300', '266 permit ip any host 10.131.128.88', 'no 1330', '267 permit ip any host 10.131.128.89', 'no 1360', '268 permit ip any host 10.131.128.90', 'no 400', 'no 460', '941 permit ip any host 10.131.128.222', '942 permit ip any host 10.131.128.223', 'no 1390', 'no 1420', 'no 1450', 'no 1900', '1541 permit ip any host 10.131.178.34', 'no 1930', '1542 permit ip any host 10.131.178.51', 'no 1960', '1543 permit ip any host 10.131.178.53', 'no 1990', '1544 permit ip any host 10.131.178.62', 'no 2020', '1545 permit ip any host 10.131.178.74', 'no 2050', '1546 permit ip any host 10.131.178.76', 'no 2080', '1547 permit ip any host 10.131.178.86', 'no 2110', '1548 permit ip any host 10.131.178.87', 'no 2140', '1549 permit ip any host 10.131.178.88', 'no 2170', '1550 permit ip any host 10.131.178.98', '1871 permit ip any host 10.131.178.210', '1872 permit ip any host 10.131.178.212', 'no 2320', '2261 permit ip any host 10.198.38.19', 'no 2470', '2381 permit ip any host 10.227.210.4', 'no 2500', '2382 permit ip any host 10.227.210.5', 'no 2530', '2383 permit ip any host 10.227.210.6', '2681 permit ip any host 10.227.210.99', '2771 permit ip any host 163.160.64.121', 'ip access-list resequence SMB_ACL 10 10']",True,YDH
192.168.6.202,YH-PARKHOUSE-1ST,150,"['ip access-list extended 150', '2861 permit ip any host 163.160.64.121', 'ip access-list resequence 150 10 10']",True,YDH
192.168.6.201,YH-PARKHOUSE-2ND,150,"['ip access-list extended 150', '2861 permit ip any host 163.160.64.121', 'ip access-list resequence 150 10 10']",True,YDH
